node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
0,0,0.0187,0.0015,0.1003,0.0006
1,1,0.022,0.0013,0.1166,0.0007
10,2,0.02,0.0008,0.0831,0.0006
100,3,0.024,0.0077,0.1079,0.0007
1000,4,0.0254,0.0002,0.0692,0.0008
1001,2,0.0213,0.0014,0.0887,0.0007
1002,0,0.0233,0.0004,0.1084,0.0007
1003,1,0.0213,0.0061,0.1172,0.0007
1004,1,0.0247,0.0021,0.1138,0.0008
1005,5,0.0227,0.0001,0.1186,0.0007
1006,7,0.0213,0.0239,0.0893,0.0007
1007,4,0.0247,0.0012,0.058,0.0007
1008,8,0.02,0.0194,0.1224,0.0006
1009,3,0.0187,0.0155,0.1117,0.0006
101,9,0.02,0.083,0.1145,0.0006
1010,10,0.0187,0.0041,0.1122,0.0006
1011,9,0.018,0.0214,0.1149,0.0006
1012,3,0.018,0.0046,0.1118,0.0006
1013,11,0.0247,0.0089,0.0661,0.0007
1014,11,0.022,0.001,0.074,0.0007
1015,7,0.0187,0.0018,0.0801,0.0006
1016,5,0.0213,0.0033,0.1213,0.0007
1017,6,0.0254,0.0037,0.1002,0.0007
1018,4,0.018,0.0026,0.0616,0.0006
1019,8,0.0193,0.0012,0.1176,0.0006
102,3,0.0213,0.0389,0.116,0.0006
1020,0,0.0213,0.0014,0.1126,0.0007
1021,8,0.0207,0.0003,0.1078,0.0006
1022,2,0.02,0.0008,0.0831,0.0006
1023,2,0.022,0.0026,0.0834,0.0007
1024,0,0.0294,0.0031,0.11,0.0009
1025,8,0.0227,0.0019,0.1104,0.0007
1026,5,0.018,0.0292,0.1229,0.0006
1027,10,0.0254,0.0013,0.1066,0.0008
1028,1,0.022,0.0012,0.1135,0.0007
1029,0,0.02,0.0019,0.1081,0.0006
103,2,0.0207,0.0047,0.0945,0.0006
1030,1,0.0233,0.0016,0.1157,0.0007
1031,1,0.0227,0.0018,0.1176,0.0007
1032,3,0.0254,0.0002,0.1083,0.0008
1033,3,0.018,0.0018,0.1055,0.0006
1034,11,0.022,0.0015,0.0662,0.0007
1035,3,0.018,0.0666,0.1078,0.0006
1036,7,0.022,0.0004,0.0751,0.0007
1037,4,0.018,0.0,0.0549,0.0006
1038,8,0.0247,0.0008,0.1079,0.0007
1039,5,0.0274,0.002,0.1207,0.0008
104,0,0.0213,0.0009,0.1124,0.0007
1040,3,0.0254,0.0153,0.1118,0.0008
1041,0,0.018,0.0983,0.1085,0.0006
1042,7,0.022,0.0043,0.0877,0.0007
1043,0,0.0187,0.0015,0.1025,0.0006
1044,6,0.0233,0.0009,0.0865,0.0007
1045,7,0.018,0.0013,0.0871,0.0006
1046,10,0.018,0.0003,0.1024,0.0006
1047,6,0.0254,0.0005,0.086,0.0007
1048,11,0.0247,0.0003,0.0705,0.0007
1049,4,0.024,0.0067,0.0692,0.0007
105,5,0.02,0.0058,0.1251,0.0006
1050,3,0.0254,0.0007,0.1062,0.0008
1051,8,0.02,0.0002,0.1076,0.0006
1052,11,0.024,0.0012,0.0694,0.0007
1053,2,0.0254,0.0021,0.0891,0.0008
1054,7,0.0247,0.0004,0.0772,0.0007
1055,6,0.0267,0.0018,0.0952,0.0008
1056,4,0.02,0.0005,0.0582,0.0006
1057,9,0.0187,0.0245,0.1027,0.0006
1058,6,0.0187,0.0017,0.0903,0.0006
1059,11,0.0254,0.0004,0.0706,0.0007
106,10,0.0193,0.0012,0.1114,0.0006
1060,8,0.0193,0.0024,0.11,0.0006
1061,9,0.0193,0.0012,0.108,0.0006
1062,1,0.0254,0.0012,0.1143,0.0008
1063,11,0.024,0.0017,0.0734,0.0007
1064,9,0.0193,0.002,0.1072,0.0006
1065,3,0.0207,0.0005,0.1098,0.0006
1066,5,0.0207,0.0947,0.1314,0.0007
1067,0,0.0247,0.0012,0.1073,0.0007
1068,2,0.0207,0.0009,0.0886,0.0006
1069,7,0.0207,0.0096,0.0935,0.0007
107,0,0.0233,0.0019,0.1113,0.0007
1070,10,0.0193,0.0021,0.1069,0.0006
1071,5,0.0247,0.002,0.1208,0.0007
1072,10,0.0193,0.0008,0.1068,0.0006
1073,3,0.0207,0.0002,0.1105,0.0006
1074,0,0.0187,0.0448,0.1036,0.0006
1075,0,0.0247,0.0013,0.1062,0.0007
1076,10,0.0207,0.0008,0.1046,0.0007
1077,6,0.0213,0.0055,0.1017,0.0006
1078,4,0.0207,0.0045,0.0616,0.0007
1079,10,0.022,0.0016,0.1059,0.0007
108,1,0.0254,0.0029,0.1141,0.0008
1080,5,0.0254,0.0011,0.1202,0.0008
1081,5,0.0233,0.0078,0.1286,0.0007
1082,11,0.018,0.0,0.0622,0.0006
1083,10,0.018,0.0114,0.1057,0.0006
1084,9,0.0213,0.0007,0.1071,0.0007
1085,3,0.0247,0.0006,0.1106,0.0007
1086,5,0.022,0.0007,0.1223,0.0007
1087,4,0.0213,0.0296,0.0737,0.0007
1088,4,0.0207,0.0044,0.0653,0.0007
1089,1,0.0213,0.0033,0.1183,0.0007
109,3,0.018,0.0495,0.107,0.0006
1090,4,0.018,0.0006,0.0735,0.0006
1091,8,0.02,0.0007,0.1132,0.0006
1092,7,0.0187,0.0011,0.0833,0.0006
1093,5,0.024,0.0018,0.124,0.0007
1094,3,0.018,0.0012,0.1095,0.0006
1095,5,0.02,0.0016,0.1221,0.0006
1096,3,0.0193,0.0257,0.1117,0.0006
1097,8,0.0233,0.0005,0.1077,0.0007
1098,6,0.0213,0.0003,0.0938,0.0006
1099,5,0.0187,0.0172,0.1228,0.0006
11,8,0.0233,0.0008,0.1089,0.0007
110,6,0.024,0.0003,0.0842,0.0007
1100,11,0.0213,0.0102,0.0731,0.0007
1101,11,0.018,0.0,0.0622,0.0006
1102,6,0.0187,0.0053,0.0967,0.0006
1103,9,0.0193,0.0008,0.1077,0.0006
1104,5,0.0233,0.0029,0.1229,0.0007
1105,7,0.018,0.0423,0.0997,0.0006
1106,9,0.02,0.0021,0.108,0.0006
1107,11,0.0187,0.0267,0.0751,0.0006
1108,8,0.022,0.0009,0.1133,0.0007
1109,4,0.0254,0.0001,0.0692,0.0008
111,2,0.022,0.001,0.0886,0.0007
1110,8,0.024,0.0008,0.1104,0.0007
1111,0,0.018,0.0176,0.1139,0.0006
1112,9,0.0187,0.0002,0.102,0.0006
1113,9,0.022,0.0047,0.1139,0.0007
1114,5,0.018,0.0395,0.1283,0.0006
1115,3,0.0213,0.0004,0.1121,0.0007
1116,7,0.0193,0.0088,0.0875,0.0006
1117,8,0.02,0.014,0.1198,0.0006
1118,4,0.0207,0.0027,0.0651,0.0007
1119,3,0.026,0.0154,0.1118,0.0008
112,5,0.022,0.0038,0.1236,0.0007
1120,0,0.0227,0.0038,0.1029,0.0007
1121,8,0.018,0.0208,0.122,0.0006
1122,4,0.028,0.0001,0.0552,0.0008
1123,4,0.0287,0.004,0.058,0.0008
1124,0,0.0193,0.0424,0.1287,0.0006
1125,1,0.0207,0.0006,0.117,0.0007
1126,8,0.022,0.0032,0.1183,0.0007
1127,8,0.0207,0.0008,0.1082,0.0006
1128,0,0.0233,0.0091,0.1057,0.0008
1129,3,0.0187,0.0279,0.1226,0.0006
113,6,0.0213,0.0042,0.0948,0.0006
1130,1,0.0213,0.001,0.1137,0.0007
1131,11,0.02,0.0003,0.0747,0.0006
1132,0,0.0227,0.0022,0.1222,0.0007
1133,5,0.018,0.012,0.1204,0.0006
1134,0,0.018,0.0021,0.0961,0.0006
1135,7,0.0187,0.0022,0.0833,0.0006
1136,5,0.0187,0.0016,0.121,0.0006
1137,1,0.0213,0.001,0.1137,0.0007
1138,2,0.0193,0.0528,0.095,0.0006
1139,11,0.0213,0.0032,0.0662,0.0006
114,0,0.0187,0.0188,0.1187,0.0006
1140,5,0.0207,0.0048,0.1268,0.0006
1141,4,0.0193,0.0007,0.0653,0.0006
1142,6,0.02,0.0008,0.1063,0.0006
1143,5,0.0247,0.0007,0.1198,0.0007
1144,0,0.0187,0.0054,0.1088,0.0006
1145,2,0.0267,0.0015,0.0838,0.0008
1146,0,0.0193,0.0009,0.1039,0.0006
