node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
0,0,0.0187,0.0016,0.1003,0.0006
1,1,0.022,0.0013,0.1167,0.0007
10,2,0.02,0.0008,0.0832,0.0006
100,3,0.024,0.0082,0.1111,0.0007
1000,4,0.0254,0.0002,0.0692,0.0008
1001,2,0.0213,0.0014,0.0889,0.0007
1002,0,0.0233,0.0004,0.1086,0.0007
1003,1,0.0207,0.0064,0.1172,0.0006
1004,1,0.0254,0.0023,0.1136,0.0008
1005,11,0.0233,0.0003,0.1209,0.0007
1006,6,0.0213,0.0272,0.0893,0.0007
1007,4,0.0247,0.0012,0.058,0.0007
1008,7,0.02,0.0175,0.1223,0.0006
1009,3,0.0187,0.0151,0.1116,0.0006
101,8,0.02,0.085,0.1147,0.0006
1010,9,0.018,0.0033,0.1122,0.0006
1011,8,0.018,0.0192,0.1149,0.0006
1012,7,0.018,0.0045,0.1119,0.0006
1013,10,0.0247,0.0089,0.0661,0.0007
1014,10,0.022,0.001,0.0741,0.0007
1015,6,0.0187,0.0019,0.0801,0.0006
1016,11,0.0213,0.003,0.1214,0.0007
1017,5,0.0254,0.0039,0.1003,0.0007
1018,4,0.018,0.0026,0.0616,0.0006
1019,7,0.0193,0.0012,0.1175,0.0006
102,3,0.0213,0.0349,0.116,0.0006
1020,0,0.0213,0.0013,0.1127,0.0007
1021,7,0.0207,0.0003,0.1077,0.0006
1022,2,0.02,0.0008,0.0832,0.0006
1023,2,0.022,0.0026,0.0835,0.0007
1024,0,0.0287,0.0029,0.1101,0.0008
1025,7,0.0227,0.0019,0.1104,0.0007
1026,11,0.018,0.0288,0.1233,0.0006
1027,9,0.0254,0.0011,0.1063,0.0008
1028,1,0.022,0.0013,0.1136,0.0007
1029,0,0.02,0.0018,0.108,0.0006
103,5,0.0207,0.0048,0.0946,0.0006
1030,1,0.0233,0.0013,0.1158,0.0007
1031,1,0.0227,0.0018,0.1178,0.0007
1032,3,0.0254,0.0002,0.1082,0.0008
1033,3,0.018,0.0018,0.1054,0.0006
1034,10,0.022,0.0015,0.0663,0.0007
1035,3,0.018,0.0653,0.1077,0.0006
1036,6,0.0227,0.0005,0.0751,0.0007
1037,4,0.018,0.0,0.0549,0.0006
1038,9,0.0247,0.0015,0.1095,0.0007
1039,11,0.0274,0.0022,0.1212,0.0008
104,1,0.0207,0.0008,0.1123,0.0006
1040,3,0.0254,0.0148,0.1117,0.0008
1041,0,0.018,0.1036,0.1085,0.0006
1042,6,0.022,0.0043,0.0877,0.0007
1043,0,0.0187,0.0015,0.1025,0.0006
1044,5,0.0233,0.0008,0.0861,0.0007
1045,6,0.0187,0.0014,0.0871,0.0006
1046,9,0.018,0.0003,0.1024,0.0006
1047,5,0.0254,0.0004,0.0856,0.0007
1048,10,0.0247,0.0003,0.0706,0.0007
1049,4,0.024,0.0067,0.0692,0.0007
105,11,0.02,0.0068,0.1256,0.0006
1050,3,0.0254,0.0008,0.1092,0.0008
