node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
S_0,0,0.026,0.0014,0.0348,0.0008
S_1,1,0.022,0.0001,0.0509,0.0007
S_10,2,0.0227,0.0014,0.0426,0.0007
S_100,1,0.024,0.0002,0.0527,0.0007
S_1000,3,0.0227,0.0023,0.0501,0.0007
S_1001,4,0.0207,0.0068,0.0676,0.0006
S_1002,5,0.0193,0.0007,0.05,0.0006
S_1003,4,0.0207,0.0004,0.0684,0.0006
S_1004,4,0.0233,0.0003,0.0655,0.0007
S_1005,6,0.0274,0.0034,0.0695,0.0008
S_1006,3,0.02,0.0009,0.0565,0.0006
S_1007,3,0.018,0.0007,0.0529,0.0006
S_1008,7,0.0193,0.0009,0.0437,0.0006
S_1009,8,0.018,0.0199,0.079,0.0006
S_101,0,0.0227,0.0,0.0316,0.0007
S_1010,4,0.0193,0.0063,0.0676,0.0006
S_1011,6,0.0247,0.0004,0.0628,0.0007
S_1012,9,0.0213,0.0008,0.0449,0.0007
S_1013,8,0.02,0.0123,0.074,0.0006
S_1014,9,0.0254,0.0025,0.0382,0.0008
S_1015,3,0.0227,0.0005,0.0501,0.0007
S_1016,8,0.0187,0.0016,0.0784,0.0006
S_1017,10,0.0213,0.0111,0.0639,0.0007
S_1018,3,0.024,0.0003,0.0501,0.0007
S_1019,8,0.0213,0.0008,0.0761,0.0007
S_102,1,0.022,0.0001,0.054,0.0007
S_1020,8,0.022,0.0007,0.0755,0.0007
S_1021,6,0.0227,0.0004,0.0704,0.0007
S_1022,11,0.018,0.0204,0.0793,0.0006
S_1023,4,0.022,0.001,0.0691,0.0007
S_1024,11,0.0207,0.0288,0.0797,0.0007
S_1025,6,0.022,0.0021,0.0686,0.0007
S_1026,3,0.02,0.0003,0.0528,0.0006
S_1027,3,0.026,0.0003,0.0556,0.0008
S_1028,4,0.0227,0.0005,0.0655,0.0007
S_1029,8,0.024,0.0011,0.0737,0.0007
S_103,0,0.018,0.0,0.0293,0.0006
S_1030,11,0.022,0.0044,0.0767,0.0007
S_1031,10,0.0233,0.0003,0.0618,0.0007
S_1032,10,0.0274,0.0005,0.0621,0.0008
S_1033,7,0.018,0.0002,0.0403,0.0006
S_1034,9,0.018,0.0008,0.0449,0.0006
S_1035,7,0.018,0.0,0.0363,0.0006
S_1036,11,0.018,0.0131,0.0794,0.0006
S_1037,8,0.0267,0.0006,0.0758,0.0008
S_1038,4,0.0207,0.0089,0.0723,0.0006
S_1039,11,0.0187,0.0029,0.0787,0.0006
S_104,1,0.0207,0.0012,0.0542,0.0006
S_1040,7,0.0207,0.0,0.0363,0.0006
S_1041,5,0.0207,0.0001,0.0527,0.0007
S_1042,11,0.0213,0.0015,0.0718,0.0007
S_1043,5,0.0213,0.0019,0.0531,0.0007
S_1044,11,0.0233,0.0002,0.0747,0.0007
S_1045,9,0.0187,0.0021,0.0449,0.0006
S_1046,9,0.022,0.0039,0.0475,0.0007
S_1047,8,0.018,0.0469,0.079,0.0006
S_1048,6,0.0207,0.0012,0.0694,0.0006
S_1049,3,0.0193,0.0005,0.0529,0.0006
S_105,12,0.0207,0.0003,0.0536,0.0006
S_1050,7,0.026,0.0073,0.0426,0.0008
S_1051,11,0.0213,0.0001,0.0705,0.0006
S_1052,9,0.0207,0.0007,0.0449,0.0007
S_1053,4,0.0187,0.0478,0.0678,0.0006
S_1054,4,0.0213,0.0002,0.0661,0.0007
S_1055,11,0.0213,0.0026,0.0767,0.0007
S_1056,11,0.024,0.0005,0.0778,0.0007
S_1057,9,0.02,0.0003,0.0382,0.0006
S_1058,8,0.0213,0.0003,0.0705,0.0007
S_1059,3,0.022,0.0007,0.0594,0.0007
S_106,1,0.0213,0.0017,0.0567,0.0006
S_1060,3,0.0187,0.0008,0.053,0.0006
S_1061,3,0.0254,0.0007,0.0568,0.0008
S_1062,8,0.0193,0.0007,0.0738,0.0006
