node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
R_0,0,0.0173,0.0002,0.0612,0.0007
R_1,1,0.016,0.0002,0.045,0.0006
R_10,2,0.0153,0.0004,0.0586,0.0006
R_100,7,0.0187,0.0004,0.064,0.0007
R_1000,9,0.0147,0.0008,0.0763,0.0006
R_1001,5,0.02,0.0006,0.0588,0.0008
R_1002,2,0.0153,0.0041,0.0632,0.0006
R_1003,6,0.0167,0.0028,0.0759,0.0007
R_1004,6,0.0153,0.0004,0.0667,0.0006
R_1005,6,0.0153,0.0032,0.0735,0.0006
R_1006,8,0.016,0.0003,0.0736,0.0006
R_1007,9,0.0193,0.0012,0.073,0.0007
R_1008,10,0.0147,0.0077,0.0455,0.0006
R_1009,11,0.0173,0.0008,0.0665,0.0007
R_101,7,0.0247,0.001,0.0644,0.0009
R_1010,5,0.0147,0.0645,0.0643,0.0006
R_1011,8,0.0153,0.186,0.0809,0.0006
R_1012,5,0.014,0.0917,0.059,0.0006
R_1013,9,0.0167,0.0002,0.0745,0.0007
R_1014,11,0.0193,0.0012,0.0679,0.0007
R_1015,8,0.016,0.002,0.078,0.0006
R_1016,2,0.0153,0.0004,0.0656,0.0006
R_1017,6,0.0187,0.0008,0.0736,0.0007
R_1018,9,0.0167,0.0001,0.0748,0.0007
R_1019,2,0.0167,0.0019,0.0658,0.0007
R_102,0,0.0153,0.0018,0.0594,0.0006
R_1020,6,0.018,0.0007,0.0724,0.0007
R_1021,6,0.0167,0.0015,0.0764,0.0007
R_1022,6,0.0187,0.0009,0.0696,0.0007
R_1023,6,0.0153,0.0009,0.0672,0.0006
R_1024,10,0.0153,0.001,0.0519,0.0006
R_1025,5,0.014,0.0027,0.0588,0.0006
R_1026,6,0.016,0.0005,0.0736,0.0006
R_1027,2,0.014,0.0002,0.0584,0.0006
R_1028,6,0.016,0.0012,0.0672,0.0006
R_1029,8,0.0153,0.017,0.0751,0.0006
R_103,7,0.016,0.0004,0.069,0.0006
R_1030,6,0.014,0.0037,0.0699,0.0006
R_1031,6,0.0173,0.0214,0.0722,0.0007
R_1032,11,0.0193,0.001,0.0664,0.0007
R_1033,9,0.0153,0.0832,0.0786,0.0006
R_1034,2,0.0153,0.0025,0.0637,0.0006
R_1035,10,0.014,0.0,0.0402,0.0006
R_1036,10,0.016,0.0075,0.0519,0.0006
R_1037,6,0.0153,0.0008,0.0724,0.0006
R_1038,9,0.0147,0.006,0.0749,0.0006
R_1039,11,0.018,0.0016,0.0678,0.0007
R_104,3,0.0187,0.002,0.0502,0.0007
R_1040,10,0.0173,0.0001,0.0418,0.0007
R_1041,10,0.0173,0.0007,0.0477,0.0007
R_1042,10,0.0147,0.01,0.0494,0.0006
R_1043,10,0.0187,0.001,0.0475,0.0007
R_1044,8,0.0167,0.0003,0.0743,0.0006
R_1045,8,0.0173,0.001,0.0756,0.0007
R_1046,8,0.016,0.0043,0.0777,0.0006
R_1047,5,0.0167,0.0032,0.0587,0.0007
R_1048,5,0.0153,0.0055,0.0614,0.0006
R_1049,10,0.0153,0.0017,0.0477,0.0006
R_105,3,0.016,0.0005,0.0519,0.0006
R_1050,8,0.0193,0.0025,0.0749,0.0008
R_1051,9,0.014,0.0105,0.0738,0.0006
R_1052,11,0.0187,0.0082,0.0715,0.0007
R_1053,6,0.016,0.0168,0.0737,0.0006
R_1054,5,0.016,0.0019,0.0612,0.0006
R_1055,11,0.0193,0.0004,0.0624,0.0007
R_1056,9,0.0167,0.0512,0.0765,0.0007
R_1057,9,0.0193,0.0012,0.073,0.0007
R_1058,2,0.018,0.0025,0.0662,0.0007
R_1059,9,0.0173,0.0024,0.0768,0.0007
R_106,0,0.02,0.0002,0.0608,0.0007
R_1060,6,0.0173,0.0035,0.0735,0.0007
R_1061,11,0.0207,0.001,0.0632,0.0008
R_1062,2,0.016,0.0073,0.0694,0.0006
R_1063,8,0.0153,0.0038,0.0776,0.0006
R_1064,9,0.022,0.0012,0.0721,0.0008
R_1065,11,0.016,0.0041,0.0707,0.0006
R_1066,8,0.0153,0.0578,0.0813,0.0006
R_1067,2,0.016,0.0014,0.0588,0.0007
R_1068,11,0.0193,0.0003,0.0631,0.0007
R_1069,11,0.014,0.0088,0.0685,0.0006
R_107,11,0.0173,0.0023,0.0651,0.0007
R_1070,9,0.022,0.0021,0.0767,0.0008
R_1071,6,0.0153,0.0007,0.0716,0.0006
R_1072,6,0.0193,0.001,0.0696,0.0008
R_1073,8,0.018,0.0003,0.0745,0.0007
R_1074,5,0.0147,0.0068,0.0614,0.0006
R_1075,10,0.0207,0.0013,0.0475,0.0008
R_1076,6,0.016,0.1269,0.0784,0.0007
R_1077,6,0.0207,0.0052,0.0765,0.0008
R_1078,6,0.02,0.0011,0.0717,0.0008
R_1079,6,0.016,0.0503,0.0753,0.0007
R_108,7,0.0187,0.0011,0.065,0.0007
R_1080,5,0.016,0.0003,0.0562,0.0006
R_1081,6,0.0153,0.0004,0.0713,0.0006
R_1082,9,0.0147,0.0222,0.071,0.0006
R_1083,8,0.018,0.0026,0.078,0.0007
R_1084,11,0.018,0.0021,0.0651,0.0007
R_1085,6,0.0167,0.0012,0.0725,0.0007
R_1086,9,0.0147,0.1101,0.076,0.0006
R_1087,10,0.0193,0.0031,0.0517,0.0008
R_1088,6,0.0193,0.0018,0.0749,0.0008
R_1089,11,0.02,0.0023,0.0679,0.0007
R_109,10,0.0207,0.0033,0.0475,0.0008
R_1090,2,0.0167,0.0021,0.061,0.0007
R_1091,11,0.014,0.0012,0.0661,0.0006
R_1092,6,0.0167,0.007,0.0766,0.0007
R_1093,10,0.0167,0.0002,0.0517,0.0007
R_1094,6,0.0153,0.0005,0.0667,0.0006
R_1095,6,0.0153,0.0003,0.0668,0.0006
R_1096,8,0.0187,0.0015,0.0783,0.0007
R_1097,6,0.016,0.0025,0.0728,0.0007
R_1098,11,0.014,0.001,0.0629,0.0006
R_1099,8,0.0167,0.0012,0.0763,0.0007
R_11,8,0.0187,0.0021,0.0763,0.0007
R_110,6,0.014,0.0014,0.0704,0.0006
R_1100,2,0.016,0.0016,0.061,0.0007
R_1101,9,0.016,0.0011,0.0732,0.0006
R_1102,6,0.018,0.0008,0.0696,0.0007
R_1103,9,0.014,0.0587,0.0755,0.0006
R_1104,8,0.0167,0.0008,0.0764,0.0006
R_1105,10,0.0167,0.0001,0.0418,0.0007
R_1106,5,0.018,0.0021,0.0562,0.0007
R_1107,9,0.0193,0.0013,0.0743,0.0007
R_1108,5,0.0167,0.002,0.0611,0.0007
R_1109,5,0.014,0.0866,0.0564,0.0006
R_111,7,0.0153,0.0181,0.069,0.0006
R_1110,2,0.016,0.0051,0.0587,0.0007
