node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
G_0,0,0.01,0.0005,0.1176,0.0006
G_1,0,0.012,0.0005,0.1128,0.0007
G_10,1,0.0127,0.0015,0.1168,0.0007
G_100,0,0.01,0.0147,0.1153,0.0006
G_1000,2,0.012,0.0023,0.0938,0.0007
G_1001,3,0.01,0.0069,0.0859,0.0006
G_1002,15,0.0113,0.0038,0.0929,0.0006
G_1003,5,0.0113,0.0013,0.097,0.0006
G_1004,5,0.0127,0.002,0.1001,0.0007
G_1005,6,0.0107,0.001,0.1164,0.0006
G_1006,7,0.0113,0.0034,0.1181,0.0007
G_1007,8,0.0107,0.0015,0.1013,0.0006
G_1008,9,0.0127,0.0019,0.0849,0.0007
G_1009,3,0.0113,0.0014,0.0958,0.0006
G_101,1,0.0127,0.0027,0.116,0.0007
G_1010,5,0.0133,0.0032,0.101,0.0008
G_1011,8,0.01,0.0003,0.101,0.0006
G_1012,10,0.0107,0.0061,0.1085,0.0006
G_1013,2,0.01,0.0046,0.0884,0.0006
G_1014,11,0.0107,0.0092,0.111,0.0006
G_1015,6,0.0113,0.0022,0.1072,0.0007
G_1016,2,0.0127,0.0008,0.0833,0.0007
G_1017,12,0.014,0.0013,0.0932,0.0008
G_1018,2,0.014,0.0005,0.0819,0.0007
G_1019,13,0.01,0.0017,0.1042,0.0006
G_102,14,0.01,0.025,0.0975,0.0006
G_1020,7,0.0113,0.0032,0.1007,0.0007
G_1021,12,0.0113,0.0019,0.1008,0.0006
G_1022,13,0.0133,0.0011,0.1032,0.0008
G_1023,3,0.0107,0.0041,0.0885,0.0006
G_1024,13,0.01,0.058,0.1053,0.0006
G_1025,8,0.012,0.0035,0.104,0.0007
G_1026,13,0.0107,0.0002,0.1019,0.0006
G_1027,7,0.012,0.0173,0.1218,0.0007
G_1028,13,0.0107,0.0004,0.1052,0.0006
G_1029,12,0.012,0.0011,0.0941,0.0006
G_103,1,0.0133,0.006,0.117,0.0007
G_1030,15,0.0107,0.0008,0.0831,0.0006
G_1031,3,0.0127,0.0052,0.0935,0.0007
G_1032,13,0.0113,0.0028,0.1073,0.0007
G_1033,15,0.0147,0.0014,0.0817,0.0008
G_1034,2,0.012,0.0047,0.0797,0.0006
G_1035,9,0.01,0.0,0.0729,0.0006
G_1036,3,0.0107,0.0008,0.0923,0.0006
G_1037,7,0.016,0.0085,0.1086,0.0009
G_1038,12,0.0107,0.0092,0.1084,0.0006
G_1039,6,0.012,0.0094,0.1123,0.0007
G_104,0,0.0133,0.0306,0.1192,0.0007
G_1040,9,0.016,0.0001,0.0735,0.0008
G_1041,15,0.012,0.0022,0.0939,0.0007
G_1042,12,0.0127,0.0006,0.0954,0.0007
G_1043,13,0.0107,0.0084,0.1067,0.0006
G_1044,5,0.012,0.0008,0.1028,0.0007
G_1045,2,0.0107,0.0035,0.0985,0.0006
G_1046,2,0.0127,0.0002,0.0767,0.0007
G_1047,13,0.0133,0.0034,0.1038,0.0007
G_1048,13,0.0153,0.0072,0.1066,0.0008
G_1049,12,0.012,0.0111,0.098,0.0007
G_105,16,0.0113,0.0028,0.0964,0.0007
G_1050,2,0.014,0.0015,0.0819,0.0007
G_1051,3,0.0113,0.0054,0.1007,0.0006
G_1052,6,0.012,0.01,0.1113,0.0007
G_1053,3,0.0127,0.0011,0.0961,0.0007
G_1054,3,0.0113,0.0062,0.0912,0.0006
G_1055,11,0.014,0.0028,0.104,0.0008
G_1056,13,0.012,0.0007,0.1006,0.0007
G_1057,8,0.0113,0.01,0.1112,0.0007
G_1058,13,0.0127,0.0004,0.103,0.0007
G_1059,7,0.0127,0.0041,0.1145,0.0007
G_106,16,0.012,0.0034,0.0948,0.0007
G_1060,8,0.0127,0.0044,0.1061,0.0007
G_1061,10,0.0107,0.0005,0.1024,0.0006
G_1062,2,0.0113,0.0004,0.094,0.0006
G_1063,3,0.0113,0.0015,0.0881,0.0006
G_1064,8,0.0113,0.0222,0.1214,0.0007
G_1065,13,0.012,0.0025,0.1057,0.0007
G_1066,2,0.012,0.0006,0.0753,0.0007
G_1067,11,0.01,0.001,0.0996,0.0006
G_1068,12,0.0127,0.0058,0.1039,0.0007
G_1069,8,0.012,0.0012,0.1039,0.0007
G_107,1,0.012,0.0019,0.1229,0.0007
G_1070,2,0.01,0.0278,0.0889,0.0006
G_1071,9,0.0167,0.0074,0.0849,0.0008
G_1072,8,0.0127,0.0029,0.1062,0.0007
G_1073,10,0.0127,0.0022,0.1043,0.0007
G_1074,15,0.0133,0.0007,0.0815,0.0007
G_1075,15,0.0107,0.0002,0.0827,0.0006
G_1076,4,0.0133,0.0041,0.0778,0.0007
G_1077,3,0.0127,0.0013,0.0959,0.0007
G_1078,6,0.012,0.0027,0.1077,0.0007
G_1079,15,0.01,0.0018,0.0917,0.0006
G_108,1,0.012,0.001,0.119,0.0007
G_1080,7,0.012,0.0039,0.1168,0.0007
G_1081,6,0.014,0.0013,0.1068,0.0008
G_1082,8,0.0107,0.0187,0.121,0.0006
G_1083,4,0.0127,0.0026,0.0762,0.0007
G_1084,8,0.0127,0.0062,0.115,0.0007
G_1085,15,0.0113,0.0016,0.0885,0.0006
G_1086,4,0.01,0.0072,0.0729,0.0006
G_1087,5,0.0113,0.0037,0.0981,0.0006
G_1088,7,0.012,0.0046,0.1038,0.0007
G_1089,7,0.012,0.0241,0.1221,0.0007
G_109,3,0.01,0.0185,0.1092,0.0006
G_1090,13,0.014,0.0021,0.1047,0.0008
G_1091,5,0.01,0.0446,0.1091,0.0006
G_1092,13,0.012,0.0089,0.1068,0.0007
G_1093,3,0.0133,0.0018,0.0914,0.0007
G_1094,15,0.0127,0.0011,0.0844,0.0007
G_1095,7,0.0107,0.0028,0.1047,0.0006
G_1096,1,0.01,0.0319,0.1241,0.0006
G_1097,8,0.012,0.0054,0.1025,0.0007
G_1098,5,0.01,0.0015,0.0997,0.0006
G_1099,6,0.0107,0.0121,0.1213,0.0006
G_11,4,0.0133,0.0036,0.0768,0.0007
G_110,0,0.0113,0.0001,0.1068,0.0006
G_1100,7,0.012,0.0059,0.1131,0.0007
G_1101,4,0.0107,0.0009,0.0765,0.0006
G_1102,6,0.01,0.001,0.109,0.0006
G_1103,7,0.0127,0.0221,0.1232,0.0007
G_1104,10,0.0127,0.0019,0.1076,0.0007
G_1105,15,0.0113,0.0037,0.0792,0.0006
G_1106,15,0.0127,0.0187,0.0921,0.0007
G_1107,2,0.012,0.0025,0.0974,0.0007
G_1108,12,0.0127,0.0011,0.1011,0.0007
G_1109,10,0.012,0.0022,0.104,0.0007
G_111,1,0.01,0.0011,0.1197,0.0006
G_1110,7,0.0113,0.0028,0.108,0.0007
G_1111,6,0.01,0.1192,0.1122,0.0006
G_1112,12,0.014,0.0016,0.0944,0.0007
G_1113,9,0.0107,0.0,0.0729,0.0006
G_1114,13,0.01,0.0016,0.1029,0.0006
G_1115,12,0.012,0.0018,0.0956,0.0007
G_1116,12,0.0107,0.0025,0.1072,0.0006
G_1117,10,0.012,0.0059,0.1065,0.0007
G_1118,8,0.012,0.001,0.1052,0.0007
G_1119,15,0.0107,0.0002,0.0772,0.0006
G_112,14,0.0133,0.0028,0.0869,0.0007
